titulo,catalogos,cites,cuartil,sjr,url,categories
Nature Genetics ,{'journal'},13100,Q1,17.3,journalsearch.php?q=18990&tip=sid&clean=0,['Genetics']
Reviews of Modern Physics ,{'journal'},4303,Q1,16.061,journalsearch.php?q=29719&tip=sid&clean=0,['Physics and Astronomy (miscellaneous']
Nature Reviews Immunology ,{'journal'},13815,Q1,16.009,journalsearch.php?q=21318&tip=sid&clean=0,"['Immunology', 'Immunology and Allergy', 'Medicine (miscellaneous']"
IEEE Communications Surveys and Tutorials ,{'journal'},11266,Q1,15.966,journalsearch.php?q=17900156715&tip=sid&clean=0,['Electrical and Electronic Engineering']
World Psychiatry ,{'journal'},4041,Q1,15.827,journalsearch.php?q=6200180159&tip=sid&clean=0,['Psychiatry and Mental Health']
Annual Review of Immunology ,{'journal'},2696,Q1,15.62,journalsearch.php?q=20651&tip=sid&clean=0,"['Immunology', 'Immunology and Allergy']"
National Vital Statistics Reports ,{'journal'},896,Q1,14.943,journalsearch.php?q=58530&tip=sid&clean=0,['Life-span and Life-course Studies']
Nature Methods ,{'journal'},15900,Q1,14.796,journalsearch.php?q=21100778827&tip=sid&clean=0,"['Biochemistry', 'Biotechnology', 'Cell Biology', 'Molecular Biology']"
Advances in Physics ,{'journal'},374,Q1,14.78,journalsearch.php?q=26978&tip=sid&clean=0,['Condensed Matter Physics']
Nano Research Energy ,{'journal'},2160,Q1,14.707,journalsearch.php?q=21101142543&tip=sid&clean=0,"['Chemistry (miscellaneous)', 'Energy (miscellaneous)', 'Materials Science (miscellaneous']"
MMWR Recommendations and Reports ,{'journal'},5353,Q1,14.618,journalsearch.php?q=19434&tip=sid&clean=0,"['Epidemiology', 'Health Information Management', 'Health (social science)', 'Health, Toxicology and Mutagenesis', 'Medicine (miscellaneous']"
Academy of Management Annals ,{'journal'},1938,Q1,14.605,journalsearch.php?q=19900191906&tip=sid&clean=0,"['Business and International Management', 'Organizational Behavior and Human Resource Management']"
Nature Nanotechnology ,{'journal'},17562,Q1,14.577,journalsearch.php?q=5200152704&tip=sid&clean=0,"['Atomic and Molecular Physics, and Optics', 'Bioengineering', 'Biomedical Engineering', 'Condensed Matter Physics', 'Electrical and Electronic Engineering', 'Materials Science (miscellaneous)', 'Nanoscience and Nanotechnology']"
Nature Reviews Genetics ,{'journal'},6211,Q1,14.293,journalsearch.php?q=18991&tip=sid&clean=0,"['Genetics', 'Genetics (clinical)', 'Molecular Biology']"
Nature Materials ,{'journal'},20730,Q1,14.231,journalsearch.php?q=17854&tip=sid&clean=0,"['Chemistry (miscellaneous)', 'Condensed Matter Physics', 'Materials Science (miscellaneous)', 'Mechanical Engineering', 'Mechanics of Materials']"
Administrative Science Quarterly ,{'journal'},1260,Q1,14.175,journalsearch.php?q=16036&tip=sid&clean=0,"['Arts and Humanities (miscellaneous)', 'Public Administration', 'Sociology and Political Science']"
Annals of Oncology ,{'journal'},12698,Q1,13.942,journalsearch.php?q=28711&tip=sid&clean=0,"['Hematology', 'Medicine (miscellaneous)', 'Oncology']"
Annual Review of Astronomy and Astrophysics ,{'book series'},1271,Q1,13.67,journalsearch.php?q=26651&tip=sid&clean=0,"['Astronomy and Astrophysics', 'Space and Planetary Science']"
Journal of Financial Economics ,{'journal'},6315,Q1,13.655,journalsearch.php?q=24379&tip=sid&clean=0,"['Accounting', 'Economics and Econometrics', 'Finance', 'Strategy and Management']"
Review of Economic Studies ,{'journal'},1699,Q1,13.609,journalsearch.php?q=24202&tip=sid&clean=0,['Economics and Econometrics']
Immunity ,{'journal'},13409,Q1,13.578,journalsearch.php?q=20798&tip=sid&clean=0,"['Immunology', 'Immunology and Allergy', 'Infectious Diseases']"
Nature Catalysis ,{'journal'},12109,Q1,13.315,journalsearch.php?q=21100862548&tip=sid&clean=0,"['Biochemistry', 'Bioengineering', 'Catalysis', 'Process Chemistry and Technology']"
Morbidity and Mortality Weekly Report ,{'journal'},14374,Q1,13.08,journalsearch.php?q=110092&tip=sid&clean=0,"['Epidemiology', 'Health Information Management', 'Health (social science)', 'Health, Toxicology and Mutagenesis', 'Medicine (miscellaneous']"
Chemical Society Reviews ,{'journal'},44032,Q1,12.511,journalsearch.php?q=23350&tip=sid&clean=0,['Chemistry (miscellaneous']
American Economic Journal: Macroeconomics ,{'journal'},862,Q1,12.324,journalsearch.php?q=19900191885&tip=sid&clean=0,"['Economics, Econometrics and Finance (miscellaneous']"
Nature Reviews Methods Primers ,{'journal'},4174,Q1,12.294,journalsearch.php?q=21101089342&tip=sid&clean=0,"['Biochemistry, Genetics and Molecular Biology (miscellaneous)', 'Medicine (miscellaneous']"
eScience ,{'journal'},3323,Q1,12.288,journalsearch.php?q=21101141505&tip=sid&clean=0,"['Electrochemistry', 'Materials Chemistry', 'Renewable Energy, Sustainability and the Environment']"
